target,pass_fail,target_size,target_unique,guess_string_count,dyn_calcs,auto_calcs
AB, PASS, 2, 2, 10, 40, 46
ABC, PASS, 3, 3, 10, 90, 108
ABCD, PASS, 4, 4, 10, 160, 207
ABCDE, PASS, 5, 5, 10, 225, 334
ABCDEF, PASS, 6, 6, 10, 240, 483
ABCDEFG, PASS, 7, 7, 10, 273, 671
ABCDEFGH, PASS, 8, 8, 10, 328, 888
ABCDEFGHI, PASS, 9, 9, 10, 342, 1134
ABCDEFGHIJ, PASS, 10, 10, 10, 350, 1415
ABCDEFGHIJK, PASS, 11, 11, 10, 396, 1731
ABA, PASS, 3, 2, 10, 90, 99
ABAB, PASS, 4, 2, 10, 160, 180
ABABA, PASS, 5, 2, 10, 250, 290
ABABAB, PASS, 6, 2, 10, 360, 431
ABABABA, PASS, 7, 2, 10, 490, 599
ABABABAB, PASS, 8, 2, 10, 584, 786
ABABABABA, PASS, 9, 2, 10, 783, 1021
ABABABABAB, PASS, 10, 2, 10, 840, 1256
ABABABABABA, PASS, 11, 2, 10, 935, 1528
AB, PASS, 2, 2, 100, 400, 226
ABC, PASS, 3, 3, 100, 900, 378
ABCD, PASS, 4, 4, 100, 1576, 565
ABCDE, PASS, 5, 5, 100, 2175, 715
ABCDEF, PASS, 6, 6, 100, 2466, 857
ABCDEFG, PASS, 7, 7, 100, 2800, 1030
ABCDEFGH, PASS, 8, 8, 100, 3112, 1240
ABCDEFGHI, PASS, 9, 9, 100, 3330, 1479
ABCDEFGHIJ, PASS, 10, 10, 100, 3690, 1751
ABCDEFGHIJK, PASS, 11, 11, 100, 4004, 2051
ABA, PASS, 3, 2, 100, 900, 369
ABAB, PASS, 4, 2, 100, 1600, 540
ABABA, PASS, 5, 2, 100, 2500, 740
ABABAB, PASS, 6, 2, 100, 3570, 961
ABABABA, PASS, 7, 2, 100, 4732, 1186
ABABABAB, PASS, 8, 2, 100, 6048, 1430
ABABABABA, PASS, 9, 2, 100, 7164, 1671
ABABABABAB, PASS, 10, 2, 100, 8110, 1909
ABABABABABA, PASS, 11, 2, 100, 9339, 2213
AB, PASS, 2, 2, 1000, 4000, 2026
ABC, PASS, 3, 3, 1000, 9000, 3078
ABCD, PASS, 4, 4, 1000, 15752, 4151
ABCDE, PASS, 5, 5, 1000, 21510, 4616
ABCDEF, PASS, 6, 6, 1000, 25050, 4642
ABCDEFG, PASS, 7, 7, 1000, 27909, 4625
ABCDEFGH, PASS, 8, 8, 1000, 30760, 4710
ABCDEFGHI, PASS, 9, 9, 1000, 33885, 4856
ABCDEFGHIJ, PASS, 10, 10, 1000, 36920, 5078
ABCDEFGHIJK, PASS, 11, 11, 1000, 39567, 5293
ABA, PASS, 3, 2, 1000, 9000, 3069
ABAB, PASS, 4, 2, 1000, 16000, 4140
ABABA, PASS, 5, 2, 1000, 25000, 5240
ABABAB, PASS, 6, 2, 1000, 35778, 6248
ABABABA, PASS, 7, 2, 1000, 48055, 7156
ABABABAB, PASS, 8, 2, 1000, 59968, 7777
ABABABABA, PASS, 9, 2, 1000, 72261, 8364
ABABABABAB, PASS, 10, 2, 1000, 83900, 8825
ABABABABABA, PASS, 11, 2, 1000, 95359, 9253
AB, PASS, 2, 2, 10000, 40000, 20026
ABC, PASS, 3, 3, 10000, 90000, 30078
ABCD, PASS, 4, 4, 10000, 157452, 39857
ABCDE, PASS, 5, 5, 10000, 215555, 43636
ABCDEF, PASS, 6, 6, 10000, 252180, 42506
ABCDEFG, PASS, 7, 7, 10000, 283206, 41016
ABCDEFGH, PASS, 8, 8, 10000, 309856, 39549
ABCDEFGHI, PASS, 9, 9, 10000, 339183, 38785
ABCDEFGHIJ, PASS, 10, 10, 10000, 367460, 38177
ABCDEFGHIJK, PASS, 11, 11, 10000, 396583, 37827
ABA, PASS, 3, 2, 10000, 90000, 30069
ABAB, PASS, 4, 2, 10000, 160000, 40140
ABABA, PASS, 5, 2, 10000, 250000, 50240
ABABAB, PASS, 6, 2, 10000, 358158, 59117
ABABABA, PASS, 7, 2, 10000, 478114, 66363
ABABABAB, PASS, 8, 2, 10000, 602152, 71494
ABABABABA, PASS, 9, 2, 10000, 724545, 75424
ABABABABAB, PASS, 10, 2, 10000, 838330, 77539
ABABABABABA, PASS, 11, 2, 10000, 952457, 79777
AB, PASS, 2, 2, 100000, 400000, 200026
ABC, PASS, 3, 3, 100000, 900000, 300078
ABCD, PASS, 4, 4, 100000, 1573300, 397031
ABCDE, PASS, 5, 5, 100000, 2151300, 432538
ABCDEF, PASS, 6, 6, 100000, 2524182, 421807
ABCDEFG, PASS, 7, 7, 100000, 2817563, 403088
ABCDEFGH, PASS, 8, 8, 100000, 3105072, 389106
ABCDEFGHI, PASS, 9, 9, 100000, 3387699, 377850
ABCDEFGHIJ, PASS, 10, 10, 100000, 3681400, 369526
ABCDEFGHIJK, PASS, 11, 11, 100000, 3969009, 362655
ABA, PASS, 3, 2, 100000, 900000, 300069
ABAB, PASS, 4, 2, 100000, 1600000, 400140
ABABA, PASS, 5, 2, 100000, 2500000, 500240
ABABAB, PASS, 6, 2, 100000, 3581526, 587941
ABABABA, PASS, 7, 2, 100000, 4786656, 659277
ABABABAB, PASS, 8, 2, 100000, 6011032, 706896
ABABABABA, PASS, 9, 2, 100000, 7242426, 745012
ABABABABAB, PASS, 10, 2, 100000, 8379500, 764761
ABABABABABA, PASS, 11, 2, 100000, 9500623, 781892
AB, PASS, 2, 2, 1000000, 4000000, 2000026
ABC, PASS, 3, 3, 1000000, 9000000, 3000078
ABCD, PASS, 4, 4, 1000000, 15734592, 3969105
ABCDE, PASS, 5, 5, 1000000, 21517870, 4324759
ABCDEF, PASS, 6, 6, 1000000, 25221738, 4211001
ABCDEFG, PASS, 7, 7, 1000000, 28182910, 4029758
ABCDEFGH, PASS, 8, 8, 1000000, 31029184, 3880446
ABCDEFGHI, PASS, 9, 9, 1000000, 33895800, 3769101
ABCDEFGHIJ, PASS, 10, 10, 1000000, 36793170, 3681469
ABCDEFGHIJK, PASS, 11, 11, 1000000, 39717348, 3613266
ABA, PASS, 3, 2, 1000000, 9000000, 3000069
ABAB, PASS, 4, 2, 1000000, 16000000, 4000140
ABABA, PASS, 5, 2, 1000000, 25000000, 5000240
ABABAB, PASS, 6, 2, 1000000, 35811972, 5875923
ABABABA, PASS, 7, 2, 1000000, 47842858, 6585528
ABABABAB, PASS, 8, 2, 1000000, 60123176, 7063634
ABABABABA, PASS, 9, 2, 1000000, 72412488, 7438390
ABABABABAB, PASS, 10, 2, 1000000, 83787130, 7636152
ABABABABABA, PASS, 11, 2, 1000000, 95052067, 7808068
