target,pass_fail,target_size,target_unique,guess_string_count,dyn_calcs,auto_calcs
AB, PASS, 2, 2, 10, 40, 46
ABC, PASS, 3, 3, 10, 90, 108
ABCD, PASS, 4, 4, 10, 160, 208
ABCDE, PASS, 5, 5, 10, 210, 333
ABCDEF, PASS, 6, 6, 10, 246, 488
ABCDEFG, PASS, 7, 7, 10, 301, 671
ABCDEFGH, PASS, 8, 8, 10, 280, 885
ABCDEFGHI, PASS, 9, 9, 10, 378, 1137
ABCDEFGHIJ, PASS, 10, 10, 10, 370, 1413
ABCDEFGHIJK, PASS, 11, 11, 10, 407, 1735
ABA, PASS, 3, 2, 10, 90, 99
ABAB, PASS, 4, 2, 10, 160, 180
ABABA, PASS, 5, 2, 10, 250, 290
ABABAB, PASS, 6, 2, 10, 360, 430
ABABABA, PASS, 7, 2, 10, 490, 600
ABABABAB, PASS, 8, 2, 10, 616, 795
ABABABABA, PASS, 9, 2, 10, 756, 1016
ABABABABAB, PASS, 10, 2, 10, 760, 1249
ABABABABABA, PASS, 11, 2, 10, 913, 1528
AB, PASS, 2, 2, 100, 400, 226
ABC, PASS, 3, 3, 100, 900, 378
ABCD, PASS, 4, 4, 100, 1560, 561
ABCDE, PASS, 5, 5, 100, 2195, 721
ABCDEF, PASS, 6, 6, 100, 2508, 864
ABCDEFG, PASS, 7, 7, 100, 2807, 1030
ABCDEFGH, PASS, 8, 8, 100, 3160, 1250
ABCDEFGHI, PASS, 9, 9, 100, 3447, 1483
ABCDEFGHIJ, PASS, 10, 10, 100, 3640, 1755
ABCDEFGHIJK, PASS, 11, 11, 100, 3861, 2045
ABA, PASS, 3, 2, 100, 900, 369
ABAB, PASS, 4, 2, 100, 1600, 540
ABABA, PASS, 5, 2, 100, 2500, 740
ABABAB, PASS, 6, 2, 100, 3588, 958
ABABABA, PASS, 7, 2, 100, 4739, 1180
ABABABAB, PASS, 8, 2, 100, 5992, 1418
ABABABABA, PASS, 9, 2, 100, 7101, 1673
ABABABABAB, PASS, 10, 2, 100, 8520, 1959
ABABABABABA, PASS, 11, 2, 100, 9537, 2227
AB, PASS, 2, 2, 1000, 4000, 2026
ABC, PASS, 3, 3, 1000, 9000, 3078
ABCD, PASS, 4, 4, 1000, 15724, 4134
ABCDE, PASS, 5, 5, 1000, 21745, 4642
ABCDEF, PASS, 6, 6, 1000, 25152, 4636
ABCDEFG, PASS, 7, 7, 1000, 28028, 4634
ABCDEFGH, PASS, 8, 8, 1000, 31392, 4755
ABCDEFGHI, PASS, 9, 9, 1000, 33678, 4839
ABCDEFGHIJ, PASS, 10, 10, 1000, 36860, 5079
ABCDEFGHIJK, PASS, 11, 11, 1000, 39853, 5341
ABA, PASS, 3, 2, 1000, 9000, 3069
ABAB, PASS, 4, 2, 1000, 16000, 4140
ABABA, PASS, 5, 2, 1000, 25000, 5240
ABABAB, PASS, 6, 2, 1000, 35766, 6250
ABABABA, PASS, 7, 2, 1000, 47698, 7129
ABABABAB, PASS, 8, 2, 1000, 60144, 7798
ABABABABA, PASS, 9, 2, 1000, 72450, 8362
ABABABABAB, PASS, 10, 2, 1000, 83490, 8779
ABABABABABA, PASS, 11, 2, 1000, 95491, 9271
AB, PASS, 2, 2, 10000, 40000, 20026
ABC, PASS, 3, 3, 10000, 90000, 30078
ABCD, PASS, 4, 4, 10000, 157212, 39870
ABCDE, PASS, 5, 5, 10000, 215125, 43445
ABCDEF, PASS, 6, 6, 10000, 251730, 42472
ABCDEFG, PASS, 7, 7, 10000, 281190, 40820
ABCDEFGH, PASS, 8, 8, 10000, 311080, 39682
ABCDEFGHI, PASS, 9, 9, 10000, 338310, 38734
ABCDEFGHIJ, PASS, 10, 10, 10000, 368210, 38065
ABCDEFGHIJK, PASS, 11, 11, 10000, 398013, 37854
ABA, PASS, 3, 2, 10000, 90000, 30069
ABAB, PASS, 4, 2, 10000, 160000, 40140
ABABA, PASS, 5, 2, 10000, 250000, 50240
ABABAB, PASS, 6, 2, 10000, 358116, 59091
ABABABA, PASS, 7, 2, 10000, 478128, 66290
ABABABAB, PASS, 8, 2, 10000, 602184, 71431
ABABABABA, PASS, 9, 2, 10000, 723321, 75293
ABABABABAB, PASS, 10, 2, 10000, 836160, 77437
ABABABABABA, PASS, 11, 2, 10000, 952578, 79672
